"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
5,1,"TGFB1","TGFbR1_R2",0.000324215842211911,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
5,1,"TGFB3","TGFbR1_R2",0.00105650904397547,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
5,1,"TGFB1","ACVR1B_TGFbR2",0.000246477227716938,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
5,1,"TGFB3","ACVR1B_TGFbR2",0.000804342022915283,0,"TGFB3_ACVR1B_TGFBR2","TGFB3 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
5,1,"TGFB1","ACVR1_TGFbR",0.000890718144048862,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
5,1,"TGFB3","ACVR1_TGFbR",0.00290820129156514,0,"TGFB3_ACVR1_TGFBR1","TGFB3 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
5,1,"BMP2","BMPR1A_ACVR2A",9.96732412202925e-05,0,"BMP2_BMPR1A_ACVR2A","BMP2 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
5,1,"BMP2","BMPR1A_BMPR2",0.000166881261211402,0.01,"BMP2_BMPR1A_BMPR2","BMP2 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
5,1,"BMP4","BMPR1A_ACVR2A",0.000119597686312953,0,"BMP4_BMPR1A_ACVR2A","BMP4 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
5,1,"BMP4","BMPR1A_BMPR2",0.000200228913367911,0,"BMP4_BMPR1A_BMPR2","BMP4 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
5,1,"BMP6","ACVR1_ACVR2A",2.69955769590129e-05,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
5,1,"BMP6","ACVR1_BMPR2",4.52077337020708e-05,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
5,1,"BMP6","BMPR1A_ACVR2A",1.1965280402026e-05,0,"BMP6_BMPR1A_ACVR2A","BMP6 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
5,1,"BMP6","BMPR1A_BMPR2",2.00383450955251e-05,0,"BMP6_BMPR1A_BMPR2","BMP6 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
5,1,"GDF11","TGFBR1_ACVR2A",0.000295975630864752,0,"GDF11_TGFBR1_ACVR2A","GDF11 - (TGFBR1+ACVR2A)","GDF","Secreted Signaling","KEGG: hsa04350"
5,1,"INHBA","ACVR1B_ACVR2A",0.00166963521927198,0,"INHBA_ACVR1B_ACVR2A","INHBA - (ACVR1B+ACVR2A)","ACTIVIN","Secreted Signaling","KEGG: hsa04350"
5,1,"INHBB","ACVR1B_ACVR2A",0.000755988432203581,0,"INHBB_ACVR1B_ACVR2A","INHBB - (ACVR1B+ACVR2A)","ACTIVIN","Secreted Signaling","KEGG: hsa04352"
5,1,"Activin AB","ACVR1B_ACVR2A",0.00112371629459164,0,"INHBABB_ACVR1B_ACVR2A","INHBABB - (ACVR1B+ACVR2A)","ACTIVIN","Secreted Signaling","PMID: 2457849; PMID: 22991378"
